Date,Category,Cost,Currency,Person1,Person2,Person3,Person4
2019-10-26,Dining out,505.0,INR,-168.33,0.0,336.66,-168.33
2019-10-26,General,202.0,INR,-67.33,0.0,134.66,-67.33
2019-10-26,General,373.0,INR,-124.33,0.0,248.66,-124.33
2019-10-26,General,610.0,INR,-152.5,-152.5,457.5,-152.5
2019-10-26,Groceries,608.0,INR,-202.67,0.0,405.33,-202.66
2019-10-27,General,950.0,INR,-316.67,0.0,633.34,-316.67
2019-10-27,General,488.0,INR,-162.67,0.0,325.34,-162.67
2019-10-28,General,162.0,INR,-81.0,0.0,81.0,0.0
2019-10-28,General,200.0,INR,-66.67,0.0,133.33,-66.66
2019-10-28,General,97.0,INR,-24.25,-24.25,72.75,-24.25
2019-10-30,Groceries,640.0,INR,-160.0,-160.0,480.0,-160.0
2019-10-30,General,80.0,INR,-20.0,-20.0,-20.0,60.0
2019-10-30,General,890.0,INR,-222.5,-222.5,667.5,-222.5
2019-10-30,General,189.0,INR,141.75,-47.25,-47.25,-47.25
,,,,,,,
2019-10-30,,,INR,-21535.25,-70221.57,170280.3,-78523.48
